,0
0,0.0
1,0.10101010101010101
2,0.30303030303030304
3,0.40404040404040403
4,1.0101010101010102
5,1.1111111111111112
6,1.2121212121212122
7,1.3131313131313131
8,1.5151515151515151
9,1.6161616161616161
10,1.8181818181818181
11,2.4242424242424243
12,2.6262626262626263
13,3.2323232323232323
14,3.5353535353535355
15,3.8383838383838382
16,3.9393939393939394
17,4.141414141414141
18,4.343434343434343
19,4.444444444444445
20,4.545454545454545
21,4.646464646464646
22,4.747474747474747
23,4.94949494949495
24,5.151515151515151
25,5.353535353535354
26,5.454545454545454
27,5.656565656565657
28,6.565656565656566
29,6.767676767676767
30,7.171717171717171
31,7.373737373737374
32,7.575757575757575
33,7.6767676767676765
34,7.777777777777778
35,7.878787878787879
36,7.979797979797979
37,8.383838383838384
38,9.191919191919192
39,9.797979797979798
